Year,Lat,Lon,SST
2021,44.863,-65.564167,24.98
2021,45.020667,-66.543333,24.98
2021,44.208833,-66.342,24.98
2021,42.723333,-66.416,24.98
2021,45.144833,-65.945833,24.98
2021,44.208833,-66.342,24.98
2021,43.4245,-60.651167,24.98
2021,42.591667,-65.638,24.98
2021,42.591667,-65.638,24.98
2021,42.715833,-65.935833,24.98
2021,42.787667,-66.209667,24.98
2021,42.6025,-66.0665,24.98
2021,45.147667,-65.844,24.98
2021,43.818167,-66.332167,24.98
2018,45.111,-66.160833,26.29
2021,42.672333,-64.428333,24.98
2021,43.095667,-67.212667,24.98
2021,42.477333,-65.698167,24.98
2021,42.591667,-65.638,24.98
2021,44.853167,-65.846667,24.98
2021,45.060667,-66.387,24.98
2021,45.073167,-66.3755,24.98
2021,45.111,-66.160833,24.98
2021,42.6935,-66.243167,24.98
2021,45.2515,-65.5775,24.98
